Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,1205.000000,1246.250000,1205.000000,1241.750000,1083.939087,161812
2014-07-08,1245.000000,1245.000000,1217.500000,1224.849976,1069.187012,126902
2014-07-09,1225.000000,1235.530029,1193.000000,1198.650024,1046.316772,122230
2014-07-10,1198.050049,1212.500000,1168.000000,1173.949951,1024.755615,189536
2014-07-11,1188.000000,1204.500000,1184.349976,1199.000000,1046.622192,139130
2014-07-14,1207.500000,1218.449951,1192.530029,1212.349976,1058.275635,113426
2014-07-15,1213.500000,1219.900024,1197.500000,1200.099976,1047.582642,81754
2014-07-16,1201.000000,1208.650024,1194.119995,1200.680054,1048.088745,99370
2014-07-17,1206.900024,1214.380005,1188.030029,1190.550049,1039.246094,134768
2014-07-18,1225.500000,1243.000000,1217.500000,1221.319946,1066.105347,397452
2014-07-21,1224.969971,1235.000000,1222.050049,1232.150024,1075.559448,97494
2014-07-22,1233.949951,1269.500000,1231.849976,1265.530029,1104.697266,184560
2014-07-23,1270.500000,1297.500000,1266.500000,1293.449951,1129.068970,213324
2014-07-24,1299.500000,1300.000000,1283.380005,1297.280029,1132.412354,172274
2014-07-25,1297.500000,1306.680054,1284.400024,1302.469971,1136.942017,126220
2014-07-28,1292.500000,1299.900024,1277.500000,1294.349976,1134.208618,103880
2014-07-30,1290.000000,1304.949951,1287.550049,1296.719971,1136.285156,66914
2014-07-31,1289.400024,1295.880005,1284.650024,1288.650024,1129.213623,66726
2014-08-01,1288.500000,1294.000000,1254.500000,1258.219971,1102.548462,121176
2014-08-04,1261.099976,1271.000000,1244.050049,1263.469971,1107.148926,123824
2014-08-05,1275.000000,1275.000000,1245.949951,1261.280029,1105.229980,112300
2014-08-06,1262.000000,1267.349976,1247.000000,1254.699951,1099.464355,95492
2014-08-07,1250.000000,1250.500000,1229.250000,1235.099976,1082.289185,134774
2014-08-08,1235.000000,1252.819946,1232.500000,1238.000000,1084.830200,100858
2014-08-11,1250.000000,1250.500000,1227.599976,1234.380005,1081.658203,65132
2014-08-12,1240.000000,1242.069946,1220.500000,1236.849976,1083.822510,69776
2014-08-13,1235.000000,1264.469971,1235.000000,1247.449951,1093.110840,142258
2014-08-14,1250.000000,1264.969971,1244.050049,1248.280029,1093.838379,111768
2014-08-18,1247.000000,1252.800049,1236.699951,1243.219971,1089.404175,73424
2014-08-19,1249.000000,1250.000000,1217.550049,1219.180054,1068.338867,234506
2014-08-20,1235.000000,1235.000000,1215.750000,1218.219971,1067.497314,209764
2014-08-21,1220.500000,1230.000000,1212.969971,1215.969971,1065.525879,219936
2014-08-22,1222.500000,1234.000000,1219.000000,1230.819946,1078.538574,214552
2014-08-25,1235.000000,1262.699951,1234.849976,1260.569946,1104.607788,278062
2014-08-26,1260.500000,1274.949951,1249.500000,1266.719971,1109.996826,169464
2014-08-27,1269.449951,1282.900024,1257.949951,1272.680054,1115.219604,131636
2014-08-28,1280.000000,1280.000000,1258.550049,1262.300049,1106.123779,75306
2014-09-01,1262.500000,1280.000000,1261.530029,1268.619995,1111.661865,92324
2014-09-02,1270.000000,1276.000000,1257.500000,1269.550049,1112.476685,94688
2014-09-03,1275.000000,1306.469971,1270.500000,1300.650024,1139.729248,318464
2014-09-04,1306.500000,1313.650024,1289.250000,1292.069946,1132.210449,175362
2014-09-05,1296.000000,1310.000000,1291.550049,1298.500000,1137.845093,74542
2014-09-08,1302.750000,1325.000000,1300.300049,1318.030029,1154.958740,259694
2014-09-09,1325.000000,1333.500000,1313.000000,1315.150024,1152.434937,78894
2014-09-10,1316.500000,1327.500000,1297.530029,1301.619995,1140.578857,102312
2014-09-11,1310.000000,1312.500000,1296.000000,1298.050049,1137.450928,75130
2014-09-12,1297.949951,1311.719971,1296.500000,1302.930054,1141.726929,55942
2014-09-15,1303.750000,1307.400024,1277.069946,1279.380005,1121.090454,95598
2014-09-16,1284.500000,1286.969971,1274.150024,1277.449951,1119.399292,75328
2014-09-17,1285.000000,1302.349976,1281.930054,1294.219971,1134.094727,100648
2014-09-18,1296.000000,1324.400024,1290.500000,1318.319946,1155.212769,94910
2014-09-19,1319.030029,1366.619995,1319.030029,1354.030029,1186.504517,227200
2014-09-22,1354.050049,1367.500000,1340.000000,1360.300049,1191.998901,95906
2014-09-23,1363.000000,1390.000000,1341.650024,1344.449951,1178.109863,145346
2014-09-24,1347.500000,1349.349976,1316.180054,1321.719971,1158.192139,143280
2014-09-25,1325.000000,1362.900024,1325.000000,1353.819946,1186.320190,121478
2014-09-26,1357.500000,1361.930054,1335.050049,1341.430054,1175.463501,91656
2014-09-29,1349.500000,1388.900024,1338.819946,1384.000000,1212.766602,214076
2014-09-30,1385.000000,1389.969971,1356.069946,1369.099976,1199.710083,313682
2014-10-01,1374.500000,1401.000000,1369.900024,1387.849976,1216.140259,164292
2014-10-07,1382.500000,1417.000000,1363.930054,1366.599976,1197.519531,127156
2014-10-08,1367.500000,1373.500000,1325.500000,1340.680054,1174.806274,185914
2014-10-09,1345.000000,1360.599976,1344.000000,1353.050049,1185.645752,101828
2014-10-10,1354.949951,1362.449951,1334.449951,1339.569946,1173.833618,313930
2014-10-13,1342.500000,1365.000000,1335.000000,1360.180054,1191.894043,238866
2014-10-14,1367.500000,1370.000000,1339.750000,1349.849976,1182.841797,199312
2014-10-15,1349.849976,1349.849976,1349.849976,1349.849976,1182.841797,0
2014-10-16,1362.000000,1375.780029,1332.500000,1339.430054,1173.710693,316262
2014-10-17,1237.500000,1254.750000,1216.550049,1222.449951,1071.204102,1151042
2014-10-20,1240.000000,1248.650024,1208.400024,1211.680054,1061.766846,311676
2014-10-21,1215.500000,1222.119995,1207.819946,1216.719971,1066.182983,195100
2014-10-22,1240.000000,1241.500000,1222.500000,1226.199951,1074.489868,249564
2014-10-27,1257.530029,1257.530029,1225.500000,1229.150024,1077.075195,191226
2014-10-28,1240.000000,1240.449951,1227.500000,1239.099976,1085.793945,121068
2014-10-29,1238.949951,1254.500000,1237.500000,1251.319946,1100.944824,137244
2014-10-30,1258.400024,1286.500000,1254.469971,1278.949951,1125.254272,245042
2014-10-31,1281.000000,1310.000000,1281.000000,1302.280029,1145.780884,708984
2014-11-03,1322.500000,1322.699951,1290.449951,1294.650024,1139.067749,273154
2014-11-05,1297.500000,1310.530029,1293.500000,1300.430054,1144.152832,122494
2014-11-07,1300.569946,1307.319946,1279.400024,1286.750000,1132.117188,113492
2014-11-10,1294.000000,1294.000000,1275.500000,1283.750000,1129.477539,100718
2014-11-11,1291.000000,1296.800049,1279.430054,1288.780029,1133.903198,72748
2014-11-12,1285.500000,1305.000000,1285.500000,1295.880005,1140.149780,80208
2014-11-13,1295.900024,1301.500000,1283.500000,1294.030029,1138.522095,96758
2014-11-14,1292.750000,1306.250000,1288.500000,1303.000000,1146.414185,89648
2014-11-17,1299.000000,1312.150024,1297.430054,1309.250000,1151.913086,90530
2014-11-18,1308.500000,1312.500000,1290.750000,1293.780029,1138.302368,114250
2014-11-19,1295.500000,1297.000000,1280.500000,1288.819946,1133.938110,120490
2014-11-20,1297.469971,1305.000000,1281.699951,1302.719971,1146.167725,120932
